title,url,certification,genres,rating,release_date,country_origin,production_company,budget,gross_us,opening_week_rev,opening_week_date,gross_world,runtime_minutes,color,soundmix,aspect_ratio
The Imitation Game,https://www.imdb.com/title/tt2084970/?ref_=watch_tpks_tt_i_42_pd_tp1_pbr_ic,PG-13,Biography,8.0,2014-12-25,United Kingdom,Black Bear,14000000,91125683,479352,2014-11-30,233555708,114,Color,Dolby Digital,2.39 : 1
The Imitation Game,https://www.imdb.com/title/tt2084970/?ref_=watch_tpks_tt_i_42_pd_tp1_pbr_ic,PG-13,Drama,8.0,2014-12-25,United Kingdom,Black Bear,14000000,91125683,479352,2014-11-30,233555708,114,Color,Dolby Digital,2.39 : 1
The Imitation Game,https://www.imdb.com/title/tt2084970/?ref_=watch_tpks_tt_i_42_pd_tp1_pbr_ic,PG-13,Thriller,8.0,2014-12-25,United Kingdom,Black Bear,14000000,91125683,479352,2014-11-30,233555708,114,Color,Dolby Digital,2.39 : 1
How to Lose a Guy in 10 Days,https://www.imdb.com/title/tt0251127/?ref_=watch_tpks_tt_i_43_pd_tp1_pbr_ic,PG-13,Comedy,6.5,2003-02-07,United States,Lynda Obst Productions,50000000,105813373,23774850,2003-02-09,177503042,116,Color,"DTS, Dolby Digital, SDDS",1.85 : 1
How to Lose a Guy in 10 Days,https://www.imdb.com/title/tt0251127/?ref_=watch_tpks_tt_i_43_pd_tp1_pbr_ic,PG-13,Romance,6.5,2003-02-07,United States,Lynda Obst Productions,50000000,105813373,23774850,2003-02-09,177503042,116,Color,"DTS, Dolby Digital, SDDS",1.85 : 1
Dallas Buyers Club,https://www.imdb.com/title/tt0790636/?ref_=watch_tpks_tt_i_44_pd_tp1_pbr_ic,R,Biography,7.9,2013-11-22,United States,Truth Entertainment (II),5000000,27298285,260865,2013-11-03,55198285,117,Color,Dolby Digital,2.35 : 1
Dallas Buyers Club,https://www.imdb.com/title/tt0790636/?ref_=watch_tpks_tt_i_44_pd_tp1_pbr_ic,R,Drama,7.9,2013-11-22,United States,Truth Entertainment (II),5000000,27298285,260865,2013-11-03,55198285,117,Color,Dolby Digital,2.35 : 1
Jojo Rabbit,https://www.imdb.com/title/tt2584384/?ref_=watch_tpks_tt_i_45_pd_tp1_pbr_ic,PG-13,Comedy,7.9,2019-11-08,Czech Republic,Searchlight Pictures,14000000,33370906,349555,2019-10-20,93662741,108,Color,"Dolby Digital, Dolby Atmos",1.85 : 1
Jojo Rabbit,https://www.imdb.com/title/tt2584384/?ref_=watch_tpks_tt_i_45_pd_tp1_pbr_ic,PG-13,Drama,7.9,2019-11-08,Czech Republic,Searchlight Pictures,14000000,33370906,349555,2019-10-20,93662741,108,Color,"Dolby Digital, Dolby Atmos",1.85 : 1
Jojo Rabbit,https://www.imdb.com/title/tt2584384/?ref_=watch_tpks_tt_i_45_pd_tp1_pbr_ic,PG-13,War,7.9,2019-11-08,Czech Republic,Searchlight Pictures,14000000,33370906,349555,2019-10-20,93662741,108,Color,"Dolby Digital, Dolby Atmos",1.85 : 1
Moonlight,https://www.imdb.com/title/tt4975722/?ref_=watch_tpks_tt_i_46_pd_tp1_pbr_ic,R,Drama,7.4,2016-11-18,United States,A24,4000000,27854932,402075,2016-10-23,65172611,111,Color,Dolby Digital,2.39 : 1
Barbie,https://www.imdb.com/title/tt1517268/?ref_=watch_tpks_tt_i_47_pd_tp1_pbr_ic,PG-13,Adventure,6.8,2023-07-21,United States,Warner Bros.,100000000,636238421,162022044,2023-07-23,1445638421,114,Color,"Dolby Digital, IMAX 6-Track, 12-Track Digital Sound, D-Cinema 96kHz 7.1, Auro 11.1, Dolby Atmos, DTS:X",2.00 : 1
Barbie,https://www.imdb.com/title/tt1517268/?ref_=watch_tpks_tt_i_47_pd_tp1_pbr_ic,PG-13,Comedy,6.8,2023-07-21,United States,Warner Bros.,100000000,636238421,162022044,2023-07-23,1445638421,114,Color,"Dolby Digital, IMAX 6-Track, 12-Track Digital Sound, D-Cinema 96kHz 7.1, Auro 11.1, Dolby Atmos, DTS:X",2.00 : 1
Barbie,https://www.imdb.com/title/tt1517268/?ref_=watch_tpks_tt_i_47_pd_tp1_pbr_ic,PG-13,Fantasy,6.8,2023-07-21,United States,Warner Bros.,100000000,636238421,162022044,2023-07-23,1445638421,114,Color,"Dolby Digital, IMAX 6-Track, 12-Track Digital Sound, D-Cinema 96kHz 7.1, Auro 11.1, Dolby Atmos, DTS:X",2.00 : 1
Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/?ref_=watch_tpks_tt_i_48_pd_tp1_pbr_ic,R,Action,7.8,2022-04-08,United States,A24,14300000,77191785,501305,2022-03-27,143411704,139,Color,"Dolby Digital, Dolby Atmos, Stereo",1.85 : 1
Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/?ref_=watch_tpks_tt_i_48_pd_tp1_pbr_ic,R,Adventure,7.8,2022-04-08,United States,A24,14300000,77191785,501305,2022-03-27,143411704,139,Color,"Dolby Digital, Dolby Atmos, Stereo",1.85 : 1
Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/?ref_=watch_tpks_tt_i_48_pd_tp1_pbr_ic,R,Comedy,7.8,2022-04-08,United States,A24,14300000,77191785,501305,2022-03-27,143411704,139,Color,"Dolby Digital, Dolby Atmos, Stereo",1.85 : 1
